ID,半乳糖,甘胺酸(Gly),甲硫胺酸(Met),白胺酸(Leu),次亞麻油酸(18:3),灰分,肉豆蔻烯酸(14:1),肉豆蔻酸(14:0),色胺酸(Trp),辛酸(8:0),乳糖,亞麻油酸(18:2),其他脂肪酸,果糖,油酸(18:1),花生油酸(20:4),花生酸(20:0),芥子酸(22:1),癸酸(10:0),苯丙胺酸(Phe),修正熱量,胱胺酸(Cys),脂肪酸M總量,脂肪酸P總量,脂肪酸S總量,酒精含量,異白胺酸(Ile),粗脂肪,粗蛋白,組胺酸(His),脯胺酸(Pro),麥芽糖,棕櫚烯酸(16:1),棕櫚酸(16:0),硬脂酸(18:0),絲胺酸(Ser),菸鹼素,視網醇,視網醇當量(RE),酥胺酸(Thr),鈣,鈉,葉酸,葡萄糖,酪胺酸(Tyr),酪酸(4:0),鉀,飽和脂肪,精胺酸(Arg),維生素A總量(IU),維生素B1,維生素B12,維生素B2,維生素B6,維生素C,維生素D2,維生素D3,維生素D總量(IU),維生素D總量(ug),維生素E總量,維生素K1,維生素K2(MK-4),維生素K2(MK-7),銅,熱量,蔗糖,鋅,麩胺酸(Glu),糖質總量,膳食纖維,錳,磷,總碳水化合物,膽固醇,鎂,離胺酸(Lys),鐵,纈胺酸(Val),鱈烯酸(20:1),P/M/S,α-生育酚,α-胡蘿蔔素,α-維生素E當量(α-TE),β-生育酚,β-胡蘿蔔素,γ-生育酚,δ-生育酚,十七酸(17:0),十九酸(19:0),十八碳四烯酸(18:4),十三酸(13:0),十五酸(15:0),山酸(22:0),己酸(6:0),反式脂肪,天門冬胺酸(Asp),廿二碳五烯酸(22:5),廿二碳六烯酸(22:6),廿四酸(24:0),廿碳五烯酸(20:5),月桂酸(12:0),水分,水解胺基酸總量,丙胺酸(Ala)
E6700101,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,0.3,1.4,NA,NA,NA,NA,NA,NA,NA,0.15,NA,20,NA,25,22,NA,NA,NA,NA,200,NA,NA,200,0.06,NA,0,0.04,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,0.3,NA,NA,1.2,NA,31,3.2,NA,15,NA,0.9,NA,NA,NA,NA,0,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5,NA,NA
Q6900101,NA,110,58,321,29,1.2,0,4278,18,585,NA,93,NA,NA,554,0,0,0,690,154,451,68,583,122,20944,NA,152,21.6,3.8,95,344,NA,29,2415,2129,174,0.25,21,23,144,137,35,15.5,NA,125,0,370,20.9,224,85,0.08,0.34,0.19,0.19,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,474,NA,0.4,721,NA,11.6,NA,158,66.1,10,20,233,0.5,193,0,NA,0.01,0,0.02,0.01,8,0.05,0.05,0,0,0,0,0,0,29,NA,311,0,0,0,0,10820,7.3,3638,193
R3000201,NA,185,33,330,870,1.6,0,27,54,0,NA,6857,NA,NA,3526,0,53,0,0,212,266,304,3543,7727,2660,NA,166,13.9,5.1,108,515,NA,17,1996,584,227,0.63,NA,44,153,1,449,17.1,NA,150,0,114,2.7,224,445,0.12,NA,0.04,0.09,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,272,NA,0.4,1893,NA,2.8,NA,57,31.5,NA,21,159,1.3,216,0,NA,1.6,67,1.98,0.3,233,2.01,1.09,0,0,0,0,0,0,0,NA,266,0,0,0,0,0,47.9,5372,176
D3700201,NA,NA,NA,NA,28,0.2,0,0,NA,0,0,76,0,1.6,98,0,0,0,0,NA,35,NA,98,105,81,NA,NA,0.3,0.7,NA,NA,0,0,67,11,NA,0.3,NA,42,NA,16,0,NA,1.5,NA,0,184,0.1,NA,424,0.08,NA,0.03,0.04,39.7,NA,NA,NA,NA,0.13,NA,NA,NA,NA,37,3.3,0.2,NA,6.4,1.1,NA,20,8.9,NA,10,NA,0.2,NA,0,NA,0.12,NA,0.13,0.01,254,0,0,0,0,0,0,0,0,0,NA,NA,0,0,3,0,0,89.9,NA,NA
A0352801,NA,343,136,678,617,6.5,0,136,95,11,NA,7512,0,NA,7469,0,80,0,29,498,461,315,7544,8128,7172,NA,350,22.8,9.4,221,1288,NA,75,5686,1130,438,3.83,0,0,252,14,2450,34.4,NA,311,0,78,7.2,361,0,0.06,NA,0.02,0.07,1,NA,NA,NA,NA,3.63,NA,NA,NA,NA,463,NA,1.4,3583,NA,1.2,NA,136,55,5,23,141,1.3,403,0,NA,0.56,0,0.91,0.3,0,1.68,1.09,28,0,0,0,0,53,7,NA,369,0,0,10,0,0,6.3,10066,285
Q0100201,NA,61,9,109,NA,0.1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,241,44,NA,NA,NA,NA,54,0.4,2.3,35,0,NA,NA,NA,NA,69,0.17,NA,0,0,6,15,12.6,NA,40,NA,21,NA,98,0,0.01,NA,0.01,0.02,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,242,NA,0.2,248,NA,0.5,NA,18,57.2,NA,8,48,0.2,72,NA,NA,0.01,0,0.01,0,0,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA,198,NA,NA,NA,NA,NA,39.9,1229,77
D2200101,NA,NA,NA,NA,29,0.4,0,2,NA,0,0,51,0,7.2,67,0,3,0,0,NA,67,NA,74,79,89,NA,NA,0.2,1.2,NA,NA,0,3,64,6,NA,0.47,NA,0,NA,2,0,14.9,7.2,NA,0,190,0.1,NA,1,0.03,NA,0.06,0.1,60.4,NA,NA,NA,NA,0.24,NA,NA,NA,0.043,68,0,0.2,NA,14.4,0.8,NA,27,17.3,NA,14,NA,0.1,NA,4,NA,0.14,NA,0.15,0.01,0,0.09,0.01,0,0,0,0,3,5,0,NA,NA,0,0,6,0,0,80.9,NA,NA
D2200102,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,0,NA,NA,6.9,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,0.2,0.9,NA,NA,0,NA,NA,NA,NA,0.37,NA,0,NA,6,2,NA,6.7,NA,NA,180,NA,NA,0,0.02,NA,0.05,0.07,44.3,NA,NA,NA,NA,0.09,NA,NA,NA,NA,62,0.1,0.5,NA,13.8,0.9,NA,23,15.8,NA,15,NA,0.2,NA,NA,NA,0.07,0,0.08,0.01,0,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.7,NA,NA
K0100401,NA,419,420,1071,48,0.9,0,41,121,0,NA,1214,NA,NA,3694,103,0,0,0,656,132,1098,3970,1570,3031,NA,637,8.6,12.5,297,465,NA,266,2250,724,897,0.48,153,153,601,47,141,NA,NA,510,0,149,3,788,511,0.06,1.17,0.47,0.12,0.7,NA,NA,NA,NA,1.61,NA,NA,NA,NA,132,NA,1.1,1636,NA,NA,NA,187,1.8,396,11,892,2,735,10,NA,1.35,0,1.38,0.01,0,0.23,0.03,13,0,0,0,3,0,0,NA,1251,9,195,0,0,0,76.1,13202,708
B0100201,NA,78,37,136,NA,0.9,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,86,23,NA,NA,NA,NA,77,0.1,2.7,77,0,NA,NA,NA,NA,138,0.38,NA,0,84,3,2,8.9,NA,90,NA,552,NA,295,0,0.11,NA,0.01,0.19,6.9,NA,NA,NA,NA,0.28,NA,NA,NA,NA,89,NA,0.6,295,NA,1.6,NA,45,18.9,NA,13,96,0.7,98,NA,NA,0.13,NA,0.19,0.12,0,0.03,0,NA,NA,NA,NA,NA,NA,NA,NA,236,NA,NA,NA,NA,NA,77.4,1986,86
